,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
639300,Oracle,2020-02-12, Business Development Representative,"Current Employee, less than 1 year","Denver, CO",1,1.0,3.0,,1.0,3.0,1.0,x,r,v,Hostile work environment,"-Resume Builder
-Lots of young employees, fun environment, easy to make friends","-Misrepresentation of PTO. They say you get X number of PTO days but fail to mention that some of those will be forced PTO as the office is closed, and no you can't work from home. You don't get Christmas Eve off, seriously, who is going to take a sales call on Christmas Eve?
-They have call competitions among the BDR's but everyone is logging fake phone calls to win. 
-BDR's ""cheat"" to hit quota, working leads that are not in there territory.
-AE's misrepresent the annual revenue of leads they are working so that it looks like they are in their territory. This fosters a hostile work environment with AE's fighting over leads and arguing with BDR's.
-The BDE team is an absolute joke, the meetings they put on for the BDR's are time sucks and not at all valuable. 
-They hire more BDR's than they have the bandwidth to promote, pushing out many BDR's once their year is up. Churning and burning through sales employees."
642750,Oracle,2020-12-28, Account Manager,Current Employee,"Toronto, ON",3,,,,,,,o,o,o,Review,Work life balance. Work from home.,No cons to reportage this time.
206626,Deloitte,2020-10-30, Senior Consultant,"Current Employee, more than 3 years","Philadelphia, PA",5,1.0,5.0,5.0,5.0,1.0,5.0,v,v,v,Thanks,nice place to work for consulting,Nothing as such to mention
260873,EY,2021-01-05, Senior Consultant,Former Employee,,5,,,,,,,o,o,o,good experience,good system and smart people,probably higher salary in the industry
220443,Deutsche-Bank,2015-04-19, Vice President ,"Former Employee, more than 10 years",Singapore,4,4.0,5.0,,5.0,3.0,3.0,v,r,r,"VP, technology","- Autonomy to manage team and work by middle level manager; no micro management from boss 
- Invested a lot in technology and kept advanced position among banks
- Plenty training opportunities and role rotation
- Clear career path and supported by C level","- Job security is weaken due to outsource and relocation
- Financial performance is not as good as before"
37517,Apple,2017-05-10, Anonymous Employee,Former Employee,,5,,,,,,,o,o,o,What you'd expect,Everyone is intelligent and driven,Pleasing superiors is often more important than pleasing users
583304,Microsoft,2020-03-07, Group Engineering Manager,"Current Employee, more than 10 years","Redmond, WA",4,5.0,5.0,,4.0,4.0,4.0,v,v,v,Great company with awesome work life balance and benefits,"Lots of options to work products across different domains, personas and technology requirements. Focuses on long-term growth and retention of employees. Top of the class benefits.",Can be political and bureaucratic for someone new to adjust to.
176301,Deloitte,2014-02-16, Management Consulting Manager,"Current Employee, more than 1 year","Los Angeles, CA",4,1.0,4.0,,5.0,2.0,4.0,o,r,v,Amazing learning experience,"You get to collaborate with very smart, dedicated professionals tackling tough issues at Fortune 100 companies and make a positive impact.",This is an all-consuming job - you have to love what you are doing.
717264,SAP,2015-12-15, Account Executive,"Current Employee, more than 1 year","Vancouver, BC",3,3.0,3.0,,3.0,3.0,3.0,v,o,r,Account Executive,I like the people here,Targets and comp structure are poor
146909,Citi,2018-02-24, ,Former Employee,,5,,,,,,,o,o,o,Review - Short brief- Pro and Cons,Great place to work -good,Nothing - Nil..everything is perfect and good
732504,Sainsbury-s,2020-11-25, Trading Assistant,Current Employee,"Leeds, England, England",4,,,,,,,o,o,o,Decent,"-colleague discount and good pay
-friendly colleagues","-can be repetitive
-early working hours for me"
504803,McDonald-s,2012-09-01, Swing Manager,"Current Employee, less than 1 year","Hampton, VA",3,3.0,5.0,,4.0,2.0,3.0,v,v,r,"It's been good, but not great.",Lots of room for advancement.,Awful training plans in effect for upcoming management.
598505,Morgan-Stanley,2021-02-03, Operations Analyst,Former Employee,"Baltimore, MD",3,5.0,4.0,4.0,4.0,2.0,3.0,o,o,o,Ok,"Good work life balance 
Easy work","Work is boring and repetitive 
Low salaries"
78409,BT,2021-05-11, Strategy Manager,Current Employee,"London, England, England",4,3.0,3.0,4.0,3.0,3.0,,v,v,o,Good place to work,"Emphasis on work-life balance, take good care of employees",Can be complacent and too risk averse
276530,GlaxoSmithKline,2021-01-19, Manufacturing Process Engineer,Former Employee,Singapore,5,4.0,5.0,5.0,5.0,5.0,4.0,v,v,v,Great Internship Experience in GSK,"- Great Training Programme for newcomers
- Acquired a wide variety of knowledge related to the pharmaceutical plant
- Supportive supervisors",- Food options are limited
691059,PwC,2020-04-20, Audit,Current Employee,"New York, NY",4,,,,,,,o,o,o,Fair company,Great culture and good leadership,Long working hours during busy season
313128,HSBC-Holdings,2016-11-01, ,Former Employee,,4,,,,,,,o,o,o,Cool,Very open people who are always there to help.,"None, since all professionals are of the highest calibre."
48253,Apple,2021-04-28, Technical Specialist,"Current Employee, less than 1 year","Tucson, AZ",5,,,,,,,o,o,o,Great Company,Open and accepting to everyone,I cannot think of a reason to not work here
329511,Hilton,2016-01-29, Guest Service Attendant,"Current Employee, more than 1 year",Kimberley,5,,,,,,,v,o,r,"I have never been an employee, there seems to be no option for that, but it seems like a pleasing hotel.",I am currently a Guest Service Attendant at a casino. The best thing about it is working with different people of different backgrounds. Gaining the necessary experience of dealing with disputes. it has humbled me as a person when faced with a difficult situation in my personal capacity. Learning other people's languages just by engaging them in conversion.,"Working shifts and juggling school. One does not really have time for socializing because you are swarmed. Sometimes working overtime and double shifts,"
514711,McDonald-s,2016-07-06, Mcdonalds Crew Member,"Current Employee, less than 1 year","Cincinnati, OH",2,3.0,,,3.0,3.0,,x,r,v,Not The Best,"Meet New People 
Experience Having a Job
Ok Pay For Being A Teenager","Fast Paced 
Can Be Extremely Busy
Ok Training 
Can Be Boring 
Just Isn't The Best Job For Me Personally"
85933,Barclays,2014-06-05, Senior Analyst,"Former Employee, more than 1 year",Chennai,4,4.0,4.0,,3.0,4.0,4.0,v,o,r,Working culture was good,"Work Life Balance, good salary package",cafeteria is not good and un hygenic
570744,Microsoft,2015-01-23, ,Former Employee,,4,,,,,,,v,r,v,"Great learning environment, great people and great opportunities to move up the ladder.",Good work life balance and senior management is very down to earth.,Compensation in salary could have been better.
199921,Deloitte,2019-12-28, Senior Solutions Specialist,"Former Employee, more than 1 year",Singapore,2,2.0,2.0,,2.0,4.0,3.0,o,o,v,USDC,"Extremely reputable company that looks great on a resume and will certainly boost your career.   You have the opportunity to work with/learn from many smart people, and grow your knowledge and skill sets rapidly.  It is a sink or swim environment, you own your career and slackers do not have longevity.","No work-life balance - you're treated as a worker ant and expected to be available outside of working hours and on-call during PTO (this does depend on the project).   

There is virtually zero effort by the company to retain workers during a strong job market.  Turnover is extremely high, leaving a perpetual knowledge gap. Employees with a year of tenure shouldn't be the ""old guys""... 

After some experience, you'll generally be doing the same work as Core counterparts, but at a portion of the pay.  What incentive is there to stick around when competing firms are offering 50-100% raises for the same work (ex: Workday, Oracle practices)? 

There is no discernible culture, no team building events, parties, etc. You go to work to work and nothing else.  

401k match is completely laughable at 1.5% vested over 4 years.  

Lastly a piece of advice to any current or prospective employees - Deloitte will take everything you give them.  Find your balance, set boundaries and stick to them.  If you start to respond to emails on PTO or take a few late night calls, it will quickly become expected of you."
734323,Salesforce,2014-06-24, Commercial Account Executive,"Current Employee, more than 3 years",,5,4.0,5.0,,4.0,4.0,5.0,v,v,v,Best of the Best,"We are the best at what we do: 
-Brightest executives in the industry driving smart sales moves that are deeply compelling to clients.
-Top down support of Foundation work and efforts.  The 1-1-1 model is inspiring and helps create a positive culture.  
-Team culture is strongly encouraged, I respect and enjoy working closely with my AVP, RVP and teammates--sharing best practices, helping colleagues ,celebrating each others wins, and delivering great solutions for our customers.  SF is a meritocracy; success is promoted and rewareded","It's a growing company, scaling rapidly, it has more than doubled in size since I have been working here. That's not necessarily a con, but each year we have to evolve our sales process and get better at what due as the territories grow smaller. Still, the Pros more than outweigh any con I write about this amazing company."
174302,Deloitte,2012-09-26, Tax Associate,"Current Employee, more than 1 year",,3,1.0,3.0,,4.0,4.0,3.0,x,v,r,Great place to start,Management tries to help. Good benefits. Big 4 firm with lots of connections if you are ever looking to leave.,Say there is work life balance- but it doesn't really exist. Same hours just can work from home or from the office.
208808,Deloitte,2020-12-30, Consultant,Current Employee,,5,,,,,,,o,o,o,Good place to work and learn,Employee oriented and work from home flexibility,Tough to make Work life balance
657718,Pizza-Hut,2017-02-21, Shift Manager,"Former Employee, more than 5 years",,5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Manager,Great company to work for.,High turnover rate so offer more incentives to keep employees
197234,Deloitte,2019-07-16, Manager,"Former Employee, more than 3 years","New York, NY",4,3.0,4.0,,4.0,3.0,4.0,o,o,o,Good experience to large corporates,"Good exposure to large, multinational corporate clients",Can be assigned to long-term projects which can stifle level of experience.
368706,IBM,2017-05-29, Anonymous Employee,Current Employee,,3,2.0,3.0,,3.0,3.0,3.0,x,v,r,"Nice place to work, works well enough for the bare minimum lifestyle","401K and health care benefits are a plus, secure job with opportunities to move up, the managers are friendly and supportive; they will often assist in working around your schedule.","More often than not, you will never meet those higher in position than your current manager, making the company seem a bit faceless. Entire divisions can be laid off due to this due to workers just being another cog in the wheel  in the grand scheme of things. If you do not push for higher positions, you will be left behind. Workers are not compensated properly for managing work, constant travel and administrative duties off-hours."
